"Label (Grouping)","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Percent","Lawrence city, Massachusetts!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","71,406","±2,878","71,406","(X)"
"        In labor force","51,600","±3,007","72.3%","±3.9"
"            Civilian labor force","51,290","±3,054","71.8%","±4.0"
"                Employed","47,743","±3,149","66.9%","±3.9"
"                Unemployed","3,547","±1,252","5.0%","±1.8"
"            Armed Forces","310","±448","0.4%","±0.6"
"        Not in labor force","19,806","±3,099","27.7%","±3.9"
"    Civilian labor force","51,290","±3,054","51,290","(X)"
"        Unemployment Rate","(X)","(X)","6.9%","±2.4"
"    Females 16 years and over","37,981","±2,477","37,981","(X)"
"        In labor force","26,049","±2,587","68.6%","±5.5"
"            Civilian labor force","26,049","±2,587","68.6%","±5.5"
"                Employed","23,924","±2,669","63.0%","±5.6"
"    Own children of the householder under 6 years","N","N","N","N"
"        All parents in family in labor force","N","N","N","N"
"    Own children of the householder 6 to 17 years","N","N","N","N"
"        All parents in family in labor force","N","N","N","N"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","47,589","±3,106","47,589","(X)"
"        Car, truck, or van -- drove alone","28,282","±3,506","59.4%","±6.0"
"        Car, truck, or van -- carpooled","11,181","±3,345","23.5%","±6.8"
"        Public transportation","2,648","±1,838","5.6%","±3.8"
"        Walked","1,638","±824","3.4%","±1.8"
"        Other means","649","±429","1.4%","±0.9"
"        Worked from home","3,191","±1,132","6.7%","±2.4"
"        Mean travel time to work (minutes)","23.4","±2.0","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","47,743","±3,149","47,743","(X)"
"        Management, business, science, and arts occupations","10,187","±1,987","21.3%","±4.0"
"        Service occupations","12,978","±2,471","27.2%","±4.8"
"        Sales and office occupations","6,252","±1,549","13.1%","±3.3"
"        Natural resources, construction, and maintenance occupations","5,431","±1,574","11.4%","±3.2"
"        Production, transportation, and material moving occupations","12,895","±2,615","27.0%","±5.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","47,743","±3,149","47,743","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","0","±228","0.0%","±0.4"
"        Construction","4,931","±1,605","10.3%","±3.3"
"        Manufacturing","7,769","±2,447","16.3%","±4.9"
"        Wholesale trade","426","±438","0.9%","±0.9"
"        Retail trade","6,098","±1,539","12.8%","±3.1"
"        Transportation and warehousing, and utilities","3,770","±1,364","7.9%","±3.0"
"        Information","502","±514","1.1%","±1.1"
"        Finance and insurance, and real estate and rental and leasing","753","±541","1.6%","±1.2"
"        Professional, scientific, and management, and administrative and waste management services","6,015","±1,974","12.6%","±4.0"
"        Educational services, and health care and social assistance","8,180","±1,685","17.1%","±3.6"
"        Arts, entertainment, and recreation, and accommodation and food services","4,836","±1,663","10.1%","±3.4"
"        Other services, except public administration","2,696","±1,213","5.6%","±2.5"
"        Public administration","1,767","±955","3.7%","±1.9"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","47,743","±3,149","47,743","(X)"
"        Private wage and salary workers","41,993","±3,401","88.0%","±4.1"
"        Government workers","3,733","±1,640","7.8%","±3.3"
"        Self-employed in own not incorporated business workers","1,919","±1,078","4.0%","±2.3"
"        Unpaid family workers","98","±169","0.2%","±0.4"
"INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","32,849","±2,204","32,849","(X)"
"        Less than $10,000","1,803","±935","5.5%","±2.8"
"        $10,000 to $14,999","2,650","±867","8.1%","±2.6"
"        $15,000 to $24,999","1,718","±791","5.2%","±2.3"
"        $25,000 to $34,999","2,703","±1,176","8.2%","±3.6"
"        $35,000 to $49,999","3,652","±1,267","11.1%","±3.8"
"        $50,000 to $74,999","6,369","±1,712","19.4%","±4.9"
"        $75,000 to $99,999","4,447","±1,326","13.5%","±3.9"
"        $100,000 to $149,999","5,343","±1,637","16.3%","±4.9"
"        $150,000 to $199,999","2,708","±989","8.2%","±3.1"
"        $200,000 or more","1,456","±601","4.4%","±1.8"
"        Median household income (dollars)","62,061","±6,897","(X)","(X)"
"        Mean household income (dollars)","78,304","±6,547","(X)","(X)"
"        With earnings","26,957","±2,124","82.1%","±4.4"
"            Mean earnings (dollars)","84,401","±8,415","(X)","(X)"
"        With Social Security","8,185","±1,620","24.9%","±4.7"
"            Mean Social Security income (dollars)","15,823","±2,169","(X)","(X)"
"        With retirement income","2,755","±1,093","8.4%","±3.2"
"            Mean retirement income (dollars)","12,839","±5,582","(X)","(X)"
"        With Supplemental Security Income","2,874","±1,065","8.7%","±3.2"
"            Mean Supplemental Security Income (dollars)","8,700","±1,471","(X)","(X)"
"        With cash public assistance income","6,617","±1,558","20.1%","±4.6"
"            Mean cash public assistance income (dollars)","3,633","±720","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","11,710","±1,629","35.6%","±5.0"
"    Families","20,578","±1,685","20,578","(X)"
"        Less than $10,000","888","±721","4.3%","±3.5"
"        $10,000 to $14,999","807","±650","3.9%","±3.1"
"        $15,000 to $24,999","1,358","±830","6.6%","±4.0"
"        $25,000 to $34,999","1,125","±771","5.5%","±3.8"
"        $35,000 to $49,999","2,152","±990","10.5%","±4.7"
"        $50,000 to $74,999","3,435","±1,024","16.7%","±4.9"
"        $75,000 to $99,999","2,893","±1,116","14.1%","±5.2"
"        $100,000 to $149,999","4,893","±1,464","23.8%","±6.7"
"        $150,000 to $199,999","2,091","±969","10.2%","±4.7"
"        $200,000 or more","936","±485","4.5%","±2.4"
"        Median family income (dollars)","79,931","±14,439","(X)","(X)"
"        Mean family income (dollars)","88,963","±10,497","(X)","(X)"
"    Per capita income (dollars)","29,307","±2,571","(X)","(X)"
"    Nonfamily households","12,271","±2,317","12,271","(X)"
"        Median nonfamily income (dollars)","42,190","±8,624","(X)","(X)"
"        Mean nonfamily income (dollars)","50,816","±8,139","(X)","(X)"
"    Median earnings for workers (dollars)","39,427","±3,456","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","52,432","±3,716","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","44,644","±5,750","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","88,580","±452","88,580","(X)"
"        With health insurance coverage","82,960","±2,106","93.7%","±2.4"
"            With private health insurance","32,434","±5,047","36.6%","±5.7"
"            With public coverage","57,640","±4,042","65.1%","±4.6"
"        No health insurance coverage","5,620","±2,087","6.3%","±2.4"
"    Civilian noninstitutionalized population under 19 years","22,234","±2,917","22,234","(X)"
"        No health insurance coverage","597","±479","2.7%","±2.1"
"    Civilian noninstitutionalized population 19 to 64 years","54,789","±2,763","54,789","(X)"
"        In labor force:","46,428","±2,912","46,428","(X)"
"            Employed:","43,347","±3,050","43,347","(X)"
"                With health insurance coverage","39,531","±3,403","91.2%","±4.0"
"                    With private health insurance","22,267","±3,812","51.4%","±7.3"
"                    With public coverage","19,115","±2,782","44.1%","±6.3"
"                No health insurance coverage","3,816","±1,724","8.8%","±4.0"
"            Unemployed:","3,081","±1,106","3,081","(X)"
"                With health insurance coverage","2,617","±978","84.9%","±13.4"
"                    With private health insurance","561","±295","18.2%","±10.6"
"                    With public coverage","2,056","±930","66.7%","±15.1"
"                No health insurance coverage","464","±441","15.1%","±13.4"
"        Not in labor force:","8,361","±2,313","8,361","(X)"
"            With health insurance coverage","7,618","±2,029","91.1%","±6.3"
"                With private health insurance","1,484","±737","17.7%","±8.9"
"                With public coverage","6,858","±1,968","82.0%","±7.8"
"            No health insurance coverage","743","±618","8.9%","±6.3"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","13.3%","±5.3"
"        With related children of the householder under 18 years","(X)","(X)","19.6%","±8.1"
"            With related children of the householder under 5 years only","(X)","(X)","26.6%","±37.2"
"        Married couple families","(X)","(X)","9.7%","±6.2"
"            With related children of the householder under 18 years","(X)","(X)","8.5%","±8.5"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±59.0"
"        Families with female householder, no spouse present","(X)","(X)","17.5%","±9.1"
"            With related children of the householder under 18 years","(X)","(X)","27.9%","±14.3"
"                With related children of the householder under 5 years only","(X)","(X)","54.4%","±54.4"
"    All people","(X)","(X)","16.7%","±4.6"
"        Under 18 years","(X)","(X)","22.4%","±10.3"
"            Related children of the householder under 18 years","(X)","(X)","22.4%","±10.3"
"                Related children of the householder under 5 years","(X)","(X)","28.8%","±23.6"
"                Related children of the householder 5 to 17 years","(X)","(X)","20.7%","±10.6"
"        18 years and over","(X)","(X)","15.0%","±3.6"
"            18 to 64 years","(X)","(X)","11.0%","±3.5"
"            65 years and over","(X)","(X)","34.4%","±10.5"
"        People in families","(X)","(X)","12.9%","±5.2"
"        Unrelated individuals 15 years and over","(X)","(X)","30.6%","±7.5"