"Label (Grouping)","Lawrence city, Massachusetts!!Total!!Estimate","Lawrence city, Massachusetts!!Total!!Margin of Error","Lawrence city, Massachusetts!!Percent!!Estimate","Lawrence city, Massachusetts!!Percent!!Margin of Error","Lawrence city, Massachusetts!!Male!!Estimate","Lawrence city, Massachusetts!!Male!!Margin of Error","Lawrence city, Massachusetts!!Percent Male!!Estimate","Lawrence city, Massachusetts!!Percent Male!!Margin of Error","Lawrence city, Massachusetts!!Female!!Estimate","Lawrence city, Massachusetts!!Female!!Margin of Error","Lawrence city, Massachusetts!!Percent Female!!Estimate","Lawrence city, Massachusetts!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","10,877","±2,153","(X)","(X)","4,875","±1,364","(X)","(X)","6,002","±1,498","(X)","(X)"
"        Less than high school graduate","1,844","±998","17.0%","±8.4","1,371","±862","28.1%","±14.7","473","±568","7.9%","±9.5"
"        High school graduate (includes equivalency)","5,078","±1,380","46.7%","±8.8","2,843","±971","58.3%","±13.7","2,235","±1,071","37.2%","±14.8"
"        Some college or associate's degree","3,354","±1,161","30.8%","±9.5","602","±415","12.3%","±8.2","2,752","±1,082","45.9%","±15.8"
"        Bachelor's degree or higher","601","±653","5.5%","±5.9","59","±107","1.2%","±2.2","542","±640","9.0%","±10.3"
"    Population 25 years and over","57,683","±3,226","(X)","(X)","27,296","±2,733","(X)","(X)","30,387","±1,999","(X)","(X)"
"        Less than 9th grade","12,886","±2,654","22.3%","±4.1","5,742","±1,888","21.0%","±6.3","7,144","±1,656","23.5%","±4.7"
"        9th to 12th grade, no diploma","5,392","±1,314","9.3%","±2.3","3,304","±1,169","12.1%","±4.1","2,088","±680","6.9%","±2.3"
"        High school graduate (includes equivalency)","18,749","±2,826","32.5%","±4.7","8,951","±2,054","32.8%","±6.4","9,798","±1,868","32.2%","±6.3"
"        Some college, no degree","8,364","±2,129","14.5%","±3.6","4,033","±1,339","14.8%","±5.0","4,331","±1,462","14.3%","±4.6"
"        Associate's degree","3,183","±1,076","5.5%","±1.8","1,661","±707","6.1%","±2.5","1,522","±850","5.0%","±2.8"
"        Bachelor's degree","5,447","±1,715","9.4%","±3.0","1,798","±875","6.6%","±3.3","3,649","±1,321","12.0%","±4.2"
"        Graduate or professional degree","3,662","±1,368","6.3%","±2.3","1,807","±983","6.6%","±3.5","1,855","±836","6.1%","±2.7"
"        High school graduate or higher","39,405","±3,090","68.3%","±4.2","18,250","±2,465","66.9%","±6.9","21,155","±1,796","69.6%","±4.7"
"        Bachelor's degree or higher","9,109","±2,138","15.8%","±3.6","3,605","±1,271","13.2%","±4.7","5,504","±1,510","18.1%","±4.8"
"    Population 25 to 34 years","14,206","±2,047","(X)","(X)","7,299","±1,492","(X)","(X)","6,907","±1,299","(X)","(X)"
"        High school graduate or higher","13,160","±2,059","92.6%","±5.0","6,869","±1,466","94.1%","±4.2","6,291","±1,333","91.1%","±9.1"
"        Bachelor's degree or higher","3,515","±1,375","24.7%","±8.9","1,849","±1,004","25.3%","±12.7","1,666","±729","24.1%","±10.5"
"    Population 35 to 44 years","11,636","±1,596","(X)","(X)","4,746","±1,267","(X)","(X)","6,890","±1,252","(X)","(X)"
"        High school graduate or higher","8,687","±1,694","74.7%","±9.6","3,176","±1,149","66.9%","±15.9","5,511","±1,234","80.0%","±11.4"
"        Bachelor's degree or higher","1,816","±844","15.6%","±7.4","276","±246","5.8%","±5.4","1,540","±755","22.4%","±10.2"
"    Population 45 to 64 years","20,104","±2,160","(X)","(X)","10,170","±1,577","(X)","(X)","9,934","±1,277","(X)","(X)"
"        High school graduate or higher","13,277","±2,031","66.0%","±7.5","6,633","±1,488","65.2%","±11.8","6,644","±1,213","66.9%","±9.0"
"        Bachelor's degree or higher","2,450","±945","12.2%","±4.6","1,036","±526","10.2%","±5.2","1,414","±793","14.2%","±7.6"
"    Population 65 years and over","11,737","±2,173","(X)","(X)","5,081","±1,303","(X)","(X)","6,656","±1,529","(X)","(X)"
"        High school graduate or higher","4,281","±1,297","36.5%","±9.1","1,572","±780","30.9%","±15.6","2,709","±911","40.7%","±10.2"
"        Bachelor's degree or higher","1,328","±866","11.3%","±6.7","444","±528","8.7%","±10.1","884","±637","13.3%","±8.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","10,505","±2,734","(X)","(X)","5,030","±1,492","(X)","(X)","5,475","±1,721","(X)","(X)"
"        High school graduate or higher","8,419","±2,278","80.1%","±8.0","3,829","±1,339","76.1%","±11.9","4,590","±1,489","83.8%","±10.2"
"        Bachelor's degree or higher","3,048","±1,591","29.0%","±12.3","1,408","±854","28.0%","±14.7","1,640","±898","30.0%","±14.2"
"    White alone, not Hispanic or Latino","7,735","±2,051","(X)","(X)","4,133","±1,319","(X)","(X)","3,602","±1,227","(X)","(X)"
"        High school graduate or higher","6,217","±1,709","80.4%","±9.4","3,185","±1,221","77.1%","±13.3","3,032","±1,057","84.2%","±12.0"
"        Bachelor's degree or higher","2,328","±1,124","30.1%","±11.1","1,096","±668","26.5%","±14.7","1,232","±667","34.2%","±14.7"
"    Black alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    American Indian or Alaska Native alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Native Hawaiian and Other Pacific Islander alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","21,092","±3,509","(X)","(X)","9,920","±2,193","(X)","(X)","11,172","±2,218","(X)","(X)"
"        High school graduate or higher","13,921","±2,760","66.0%","±8.0","6,698","±1,582","67.5%","±10.0","7,223","±1,706","64.7%","±9.2"
"        Bachelor's degree or higher","2,561","±962","12.1%","±4.8","869","±649","8.8%","±6.9","1,692","±853","15.1%","±7.2"
"    Two or more races","23,128","±4,069","(X)","(X)","11,231","±2,696","(X)","(X)","11,897","±2,189","(X)","(X)"
"        High school graduate or higher","14,573","±3,540","63.0%","±8.5","6,947","±2,200","61.9%","±12.5","7,626","±1,840","64.1%","±9.3"
"        Bachelor's degree or higher","2,928","±1,199","12.7%","±4.7","1,163","±771","10.4%","±6.7","1,765","±917","14.8%","±6.6"
"    Hispanic or Latino Origin","47,422","±3,421","(X)","(X)","22,224","±2,567","(X)","(X)","25,198","±1,937","(X)","(X)"
"        High school graduate or higher","30,676","±2,922","64.7%","±4.6","14,126","±2,179","63.6%","±7.6","16,550","±1,550","65.7%","±5.1"
"        Bachelor's degree or higher","5,771","±1,647","12.2%","±3.5","2,099","±1,053","9.4%","±4.8","3,672","±1,226","14.6%","±4.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.3%","±7.1","(X)","(X)","16.8%","±9.2","(X)","(X)","29.5%","±10.2"
"    High school graduate (includes equivalency)","(X)","(X)","11.5%","±5.5","(X)","(X)","7.3%","±5.3","(X)","(X)","15.3%","±8.7"
"    Some college or associate's degree","(X)","(X)","16.6%","±7.5","(X)","(X)","13.6%","±10.2","(X)","(X)","19.5%","±9.3"
"    Bachelor's degree or higher","(X)","(X)","9.0%","±8.3","(X)","(X)","9.6%","±13.7","(X)","(X)","8.7%","±9.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,909","±4,108","(X)","(X)","50,846","±6,310","(X)","(X)","36,615","±3,905","(X)","(X)"
"        Less than high school graduate","38,531","±3,583","(X)","(X)","41,068","±17,121","(X)","(X)","31,212","±3,462","(X)","(X)"
"        High school graduate (includes equivalency)","39,082","±4,438","(X)","(X)","43,341","±11,318","(X)","(X)","35,202","±4,646","(X)","(X)"
"        Some college or associate's degree","41,079","±12,023","(X)","(X)","45,672","±13,885","(X)","(X)","35,292","±16,300","(X)","(X)"
"        Bachelor's degree","62,026","±11,388","(X)","(X)","88,734","±7,559","(X)","(X)","48,962","±20,378","(X)","(X)"
"        Graduate or professional degree","64,186","±19,458","(X)","(X)","99,152","±32,805","(X)","(X)","54,381","±7,869","(X)","(X)"